"PlaylistTrackId","PlaylistId","TrackId","Position","Score","Reason"
"ad01feef-89c1-4e0d-967b-36ccc8163dd3","15932385-ec7d-4c23-86f7-18d7727f514c","67","5","0,197375","Matches Late Night Drive Mix through pop, popfolk, poprock."
"6880c3bc-5862-425a-9178-43e848cea949","15932385-ec7d-4c23-86f7-18d7727f514c","196","6","0,191603","Matches Late Night Drive Mix through pop, popfolk, poprock."
"95be4d38-4d5a-4f1d-964e-67efb8e56fb0","15932385-ec7d-4c23-86f7-18d7727f514c","46","7","0,188610","Matches Late Night Drive Mix through hiphop, electronic, pop."
"a3ab3584-6aec-411b-bfb7-ac1a1795acb2","15932385-ec7d-4c23-86f7-18d7727f514c","153","8","0,182494","Matches Late Night Drive Mix through pop, electronic, chillout."
"bbaeae59-e395-4ba6-848d-9f81af06cab5","15932385-ec7d-4c23-86f7-18d7727f514c","33","9","0,180158","Matches Late Night Drive Mix through hiphop, pop."
"d5ff3277-2044-45ac-9c0f-7e13b07b9f1a","15932385-ec7d-4c23-86f7-18d7727f514c","39","10","0,177296","Matches Late Night Drive Mix through hiphop, pop."
"81ba8833-9956-4546-8beb-c6e79177c45d","15932385-ec7d-4c23-86f7-18d7727f514c","76","11","0,174941","Matches Late Night Drive Mix through electronic, pop, synthesizer."
"c7266f0e-5016-480f-9eb1-c61a66960554","15932385-ec7d-4c23-86f7-18d7727f514c","145","12","0,174595","Matches Late Night Drive Mix through pop, electronic, synthesizer."
"7b82c21c-354a-46b9-ad0d-5aa9e791cefd","15932385-ec7d-4c23-86f7-18d7727f514c","179","13","0,173459","Matches Late Night Drive Mix through pop, hiphop, electronic."
"bc077de7-928e-42c7-baeb-83490020f6d1","15932385-ec7d-4c23-86f7-18d7727f514c","55","14","0,170793","Matches Late Night Drive Mix through pop, poprock, synthesizer."
"c489a412-7e15-449b-b446-9326abcb0061","15932385-ec7d-4c23-86f7-18d7727f514c","59","15","0,168222","Matches Late Night Drive Mix through pop, electronic, poprock."
"062688ea-f97d-4fbb-9756-cefdc01d3a86","15932385-ec7d-4c23-86f7-18d7727f514c","65","16","0,168031","Matches Late Night Drive Mix through pop, chillout, electronic."
"4fdc0adb-92c0-4dd5-99f1-0824bae39405","15932385-ec7d-4c23-86f7-18d7727f514c","52","17","0,166992","Matches Late Night Drive Mix through pop, hiphop, electronic."
"a2e0bf05-b6b8-484f-a973-a8866d57a829","15932385-ec7d-4c23-86f7-18d7727f514c","51","18","0,164899","Matches Late Night Drive Mix through pop, hiphop, electronic."
"5d9d7ead-23c1-47ff-b13a-7e02fa65144d","15932385-ec7d-4c23-86f7-18d7727f514c","173","19","0,161502","Matches Late Night Drive Mix through electronic, pop, synthesizer."
"de2dd90f-394d-41cb-ad23-60ccdd324f2d","15932385-ec7d-4c23-86f7-18d7727f514c","193","20","0,153387","Matches Late Night Drive Mix through pop, poprock, synthesizer."
"f13014e0-e5e7-48f6-8c03-5175e0d91e4b","15932385-ec7d-4c23-86f7-18d7727f514c","72","21","0,153051","Matches Late Night Drive Mix through pop, hiphop, electronic."
"8171942a-8bad-4895-adf3-6c2d2e70e099","15932385-ec7d-4c23-86f7-18d7727f514c","174","22","0,150828","Matches Late Night Drive Mix through electronic, pop, hiphop."
"9aab4da6-05cd-4012-a2f5-5a6257f1ddd8","15932385-ec7d-4c23-86f7-18d7727f514c","58","23","0,150271","Matches Late Night Drive Mix through hiphop, pop, synthesizer."
"c90c13cb-f98b-4b4e-9d64-a7efb3603fe6","15932385-ec7d-4c23-86f7-18d7727f514c","184","24","0,148530","Matches Late Night Drive Mix through pop, poprock, synthesizer."
"7e214181-e499-47de-8592-320823c0aaec","15932385-ec7d-4c23-86f7-18d7727f514c","28","25","0,146049","Matches Late Night Drive Mix through electronic, synthesizer."
"a67f8340-789d-4845-a740-d9e7e02bd517","dc4aec9e-121e-4486-be0d-22890815cb3e","166","1","0,445084","Matches 3am and Alone Mix through chillout, ambient."
"c6a5e98f-e632-4231-bd01-4b2f3f69dc40","dc4aec9e-121e-4486-be0d-22890815cb3e","179","2","0,429287","Fits your recent listening profile."
"a0fdab20-2d50-4a2c-9a6b-2db334fb5542","dc4aec9e-121e-4486-be0d-22890815cb3e","155","3","0,423826","Fits your recent listening profile."
"8814f86b-f773-4535-a854-2f061385ab63","dc4aec9e-121e-4486-be0d-22890815cb3e","160","4","0,423526","Fits your recent listening profile."
"f1f4a7f8-2d5a-4696-917d-36cdcfb5a230","dc4aec9e-121e-4486-be0d-22890815cb3e","92","5","0,422141","Fits your recent listening profile."
"defafe82-f156-4ca7-a9cd-d0f5cc62ce16","dc4aec9e-121e-4486-be0d-22890815cb3e","33","6","0,400449","Fits your recent listening profile."
"e2904968-c5f1-40ce-90a0-b7191bc04d35","dc4aec9e-121e-4486-be0d-22890815cb3e","65","7","0,393619","Fits your recent listening profile."
"5fa6d112-0e2e-4619-8c34-d9a96249fed4","dc4aec9e-121e-4486-be0d-22890815cb3e","41","8","0,390812","Fits your recent listening profile."
"2efea5fd-7138-4769-b1ee-3058cb0b33f5","dc4aec9e-121e-4486-be0d-22890815cb3e","37","9","0,388425","Fits your recent listening profile."
"a3f00c8b-cbcd-4c7b-8712-ecb094df1c8f","dc4aec9e-121e-4486-be0d-22890815cb3e","72","10","0,384554","Fits your recent listening profile."
"b4162fb8-3248-47f7-a76b-48fdfa66d8ce","dc4aec9e-121e-4486-be0d-22890815cb3e","57","11","0,379153","Fits your recent listening profile."
"5f6ab378-3422-4afe-bb5c-3d74fa964c31","dc4aec9e-121e-4486-be0d-22890815cb3e","176","12","0,359581","Fits your recent listening profile."
"b8ef02a4-39de-4047-a04e-b82d98c45062","dc4aec9e-121e-4486-be0d-22890815cb3e","59","13","0,356091","Fits your recent listening profile."
"aed38cee-9b51-4667-863b-30eb1ef5ae98","dc4aec9e-121e-4486-be0d-22890815cb3e","20","14","0,351287","Fits your recent listening profile."
"1c5f02d3-00b9-4c8a-89ca-560e7443ffa6","dc4aec9e-121e-4486-be0d-22890815cb3e","60","15","0,322244","Fits your recent listening profile."
"4376b11b-b617-461c-90ad-96a88d6ed196","dc4aec9e-121e-4486-be0d-22890815cb3e","186","16","0,321034","Fits your recent listening profile."
"149ae71e-6e16-4965-bd82-a61d5b81ce5f","dc4aec9e-121e-4486-be0d-22890815cb3e","173","17","0,301740","Fits your recent listening profile."
"a876be08-526a-4e90-af44-ec640c28dcdf","dc4aec9e-121e-4486-be0d-22890815cb3e","193","18","0,298604","Fits your recent listening profile."
"f39c1846-f2c5-4d31-886b-93b45e3e1f98","dc4aec9e-121e-4486-be0d-22890815cb3e","184","19","0,290622","Fits your recent listening profile."
"d2dc2762-3e86-409a-a231-c9f79d17567e","dc4aec9e-121e-4486-be0d-22890815cb3e","170","20","0,287371","Fits your recent listening profile."
"70733ee9-a55c-4320-a957-f05526dc706e","dc4aec9e-121e-4486-be0d-22890815cb3e","180","21","0,286989","Fits your recent listening profile."
"698aba1d-7f7f-4994-8c5c-ca1bf4d1bbb1","dc4aec9e-121e-4486-be0d-22890815cb3e","28","22","0,262313","Fits your recent listening profile."
"38bafa44-4028-48ef-be6e-d27805f40e58","dc4aec9e-121e-4486-be0d-22890815cb3e","27","23","0,262091","Fits your recent listening profile."
"6e2efa9a-618b-4ad2-a7bb-676b9807d721","dc4aec9e-121e-4486-be0d-22890815cb3e","55","24","0,257053","Fits your recent listening profile."
"89fc590b-84dc-4bbd-bd14-102728ae77e2","dc4aec9e-121e-4486-be0d-22890815cb3e","49","25","0,042681","Catalog fallback for this recommendation intent."
